version,elapsed_time,maze_size,n_particles,generation_seed,solution_seed,maze_image_path
sequential,2614.78,51,10000,3934329779,968699857,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:19:35_968699857.txt"
parallel,285.342,51,10000,3934329779,968699857,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:19:35_968699857.txt"
sequential,733.034,51,10000,1605233606,4203262573,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:19:36_4203262573.txt"
parallel,103.382,51,10000,1605233606,4203262573,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:19:36_4203262573.txt"
sequential,10704.8,51,10000,1065117804,2688004859,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:19:47_2688004859.txt"
parallel,1070.46,51,10000,1065117804,2688004859,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:19:48_2688004859.txt"
sequential,31924.4,51,10000,551520387,2197235965,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:20:20_2197235965.txt"
parallel,3195.77,51,10000,551520387,2197235965,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:20:23_2197235965.txt"
sequential,9060.72,51,10000,1292998903,820953890,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:20:32_820953890.txt"
parallel,880.639,51,10000,1292998903,820953890,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:20:33_820953890.txt"
sequential,6976.44,51,10000,3327441830,459901583,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:20:40_459901583.txt"
parallel,1572.92,51,10000,3327441830,459901583,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:20:41_459901583.txt"
sequential,8175.08,51,10000,3750276487,2429318590,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:20:50_2429318590.txt"
parallel,613.372,51,10000,3750276487,2429318590,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:20:50_2429318590.txt"
sequential,4894.54,51,10000,3664297833,1440790147,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:20:55_1440790147.txt"
parallel,866.626,51,10000,3664297833,1440790147,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:20:56_1440790147.txt"
sequential,204.24,51,10000,2572183142,394372637,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:20:56_394372637.txt"
parallel,42.773,51,10000,2572183142,394372637,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:20:56_394372637.txt"
sequential,5155.15,51,10000,810088518,703223152,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:21:01_703223152.txt"
parallel,615.811,51,10000,810088518,703223152,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:21:02_703223152.txt"
sequential,13517,51,10000,1699413048,1506280190,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:21:16_1506280190.txt"
parallel,1449.26,51,10000,1699413048,1506280190,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:21:17_1506280190.txt"
sequential,20812.4,51,10000,1358380160,2714992283,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:21:38_2714992283.txt"
parallel,2470.9,51,10000,1358380160,2714992283,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:21:40_2714992283.txt"
sequential,306.225,51,10000,2141122821,900160812,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:21:41_900160812.txt"
parallel,38.575,51,10000,2141122821,900160812,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:21:41_900160812.txt"
sequential,22677.8,51,10000,2769176831,2782429555,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:22:03_2782429555.txt"
parallel,1975.62,51,10000,2769176831,2782429555,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:22:05_2782429555.txt"
sequential,5037.76,51,10000,896734340,3199903853,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:22:10_3199903853.txt"
parallel,1026.37,51,10000,896734340,3199903853,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:22:11_3199903853.txt"
sequential,1120.02,51,10000,3588442171,3460224465,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:22:12_3460224465.txt"
parallel,202.29,51,10000,3588442171,3460224465,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:22:13_3460224465.txt"
sequential,4467.12,51,10000,2439947668,1039513446,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:22:17_1039513446.txt"
parallel,468.736,51,10000,2439947668,1039513446,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:22:18_1039513446.txt"
sequential,11895.2,51,10000,1260390445,1329235800,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:22:29_1329235800.txt"
parallel,1821.87,51,10000,1260390445,1329235800,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:22:31_1329235800.txt"
sequential,24393.7,51,10000,3825776566,1538375192,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:22:56_1538375192.txt"
parallel,2846.83,51,10000,3825776566,1538375192,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:22:59_1538375192.txt"
sequential,1684.17,51,10000,1508921550,3156135964,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:23:00_3156135964.txt"
parallel,201.015,51,10000,1508921550,3156135964,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:23:00_3156135964.txt"
sequential,619.874,51,10000,1196972227,858546804,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:23:01_858546804.txt"
parallel,93.727,51,10000,1196972227,858546804,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:23:01_858546804.txt"
sequential,29153.7,51,10000,2324092220,1391339539,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:23:30_1391339539.txt"
parallel,2676.43,51,10000,2324092220,1391339539,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:23:33_1391339539.txt"
sequential,30263.7,51,10000,1413271005,2584357179,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:24:03_2584357179.txt"
parallel,3348.77,51,10000,1413271005,2584357179,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:24:07_2584357179.txt"
sequential,23.28,51,10000,1301328919,4022283833,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:24:07_4022283833.txt"
parallel,16.981,51,10000,1301328919,4022283833,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:24:07_4022283833.txt"
sequential,5111.93,51,10000,3224584112,3247311940,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:24:12_3247311940.txt"
parallel,1113.82,51,10000,3224584112,3247311940,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:24:13_3247311940.txt"
sequential,681.845,51,10000,317464636,3385785060,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:24:14_3385785060.txt"
